City,Country,Region,Continent,Month,Item,Item_Category,Price_USD,Exchange_Rate,YoY_Inflation_Estimate_Pct,FAO_Index_Value,Population_Estimate,Breakfast_Basket_USD
Los Angeles,United States,North America,North America,2025-12-01,milk (1 liter),Dairy,1.17,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,milk (1 liter),Dairy,1.2,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,milk (1 liter),Dairy,1.25,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,milk (1 liter),Dairy,1.22,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,fresh white bread (500g),Bakery,4.17,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,fresh white bread (500g),Bakery,4.26,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,fresh white bread (500g),Bakery,4.24,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,fresh white bread (500g),Bakery,4.24,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,fresh white bread (500g),Bakery,4.24,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,fresh white bread (500g),Bakery,4.19,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,white rice (1 kg),Grains,5.0,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,white rice (1 kg),Grains,4.88,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,white rice (1 kg),Grains,4.96,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,white rice (1 kg),Grains,4.99,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,white rice (1 kg),Grains,5.05,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,white rice (1 kg),Grains,5.12,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,"eggs (regular, 12)",Dairy & Eggs,4.88,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,"eggs (regular, 12)",Dairy & Eggs,5.0,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,"eggs (regular, 12)",Dairy & Eggs,4.93,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,"eggs (regular, 12)",Dairy & Eggs,4.99,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,"eggs (regular, 12)",Dairy & Eggs,5.18,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,"eggs (regular, 12)",Dairy & Eggs,5.04,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,local cheese (1 kg),Dairy,14.37,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,local cheese (1 kg),Dairy,14.28,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,local cheese (1 kg),Dairy,14.72,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,local cheese (1 kg),Dairy,14.36,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,local cheese (1 kg),Dairy,14.94,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,local cheese (1 kg),Dairy,14.95,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,chicken fillets (1 kg),Meat,14.01,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,chicken fillets (1 kg),Meat,13.72,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,chicken fillets (1 kg),Meat,14.06,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,chicken fillets (1 kg),Meat,13.64,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,chicken fillets (1 kg),Meat,13.96,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,chicken fillets (1 kg),Meat,14.11,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,beef round (1 kg),Meat,17.25,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,beef round (1 kg),Meat,17.64,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,beef round (1 kg),Meat,17.52,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,beef round (1 kg),Meat,17.26,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,beef round (1 kg),Meat,18.18,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,beef round (1 kg),Meat,17.68,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,apples (1 kg),Fruits,5.46,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,apples (1 kg),Fruits,6.03,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,apples (1 kg),Fruits,6.22,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,apples (1 kg),Fruits,5.89,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,apples (1 kg),Fruits,5.98,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,apples (1 kg),Fruits,6.0,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,bananas (1 kg),Fruits,1.81,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,bananas (1 kg),Fruits,1.94,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,bananas (1 kg),Fruits,1.96,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,bananas (1 kg),Fruits,1.93,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,bananas (1 kg),Fruits,1.96,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,bananas (1 kg),Fruits,1.95,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,oranges (1 kg),Fruits,4.74,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,oranges (1 kg),Fruits,5.21,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,oranges (1 kg),Fruits,5.24,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,oranges (1 kg),Fruits,5.21,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,oranges (1 kg),Fruits,5.05,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,oranges (1 kg),Fruits,5.11,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,tomatoes (1 kg),Vegetables,4.11,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,tomatoes (1 kg),Vegetables,4.62,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,tomatoes (1 kg),Vegetables,4.82,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,tomatoes (1 kg),Vegetables,4.51,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,tomatoes (1 kg),Vegetables,4.64,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,tomatoes (1 kg),Vegetables,4.63,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,potatoes (1 kg),Vegetables,3.03,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,potatoes (1 kg),Vegetables,3.42,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,potatoes (1 kg),Vegetables,3.45,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,potatoes (1 kg),Vegetables,3.33,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,potatoes (1 kg),Vegetables,3.27,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,potatoes (1 kg),Vegetables,3.32,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,onions (1 kg),Vegetables,2.43,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,onions (1 kg),Vegetables,2.68,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,onions (1 kg),Vegetables,2.76,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,onions (1 kg),Vegetables,2.68,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,onions (1 kg),Vegetables,2.64,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,onions (1 kg),Vegetables,2.68,1.0,4.3,126.0,3979576,15.57
Los Angeles,United States,North America,North America,2025-10-01,lettuce (1 head),Vegetables,2.28,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,lettuce (1 head),Vegetables,2.6,1.0,4.3,126.2,3979576,15.37
Los Angeles,United States,North America,North America,2025-12-01,lettuce (1 head),Vegetables,2.62,1.0,4.3,125.8,3979576,15.3
Los Angeles,United States,North America,North America,2026-01-01,lettuce (1 head),Vegetables,2.64,1.0,4.3,124.2,3979576,15.42
Los Angeles,United States,North America,North America,2026-02-01,lettuce (1 head),Vegetables,2.6,1.0,4.3,125.3,3979576,15.72
Los Angeles,United States,North America,North America,2026-03-01,lettuce (1 head),Vegetables,2.55,1.0,4.3,126.0,3979576,15.57
Chicago,United States,North America,North America,2025-10-01,milk (1 liter),Dairy,1.12,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,milk (1 liter),Dairy,1.13,1.0,4.3,126.2,2693976,14.52
Chicago,United States,North America,North America,2025-12-01,milk (1 liter),Dairy,1.16,1.0,4.3,125.8,2693976,14.86
Chicago,United States,North America,North America,2026-01-01,milk (1 liter),Dairy,1.13,1.0,4.3,124.2,2693976,14.64
Chicago,United States,North America,North America,2026-02-01,milk (1 liter),Dairy,1.19,1.0,4.3,125.3,2693976,14.83
Chicago,United States,North America,North America,2026-03-01,milk (1 liter),Dairy,1.17,1.0,4.3,126.0,2693976,14.89
Chicago,United States,North America,North America,2025-10-01,fresh white bread (500g),Bakery,4.0,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,fresh white bread (500g),Bakery,4.06,1.0,4.3,126.2,2693976,14.52
Chicago,United States,North America,North America,2025-12-01,fresh white bread (500g),Bakery,4.02,1.0,4.3,125.8,2693976,14.86
Chicago,United States,North America,North America,2026-01-01,fresh white bread (500g),Bakery,3.95,1.0,4.3,124.2,2693976,14.64
Chicago,United States,North America,North America,2026-02-01,fresh white bread (500g),Bakery,4.06,1.0,4.3,125.3,2693976,14.83
Chicago,United States,North America,North America,2026-03-01,fresh white bread (500g),Bakery,4.0,1.0,4.3,126.0,2693976,14.89
Chicago,United States,North America,North America,2025-10-01,white rice (1 kg),Grains,4.66,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,white rice (1 kg),Grains,4.65,1.0,4.3,126.2,2693976,14.52
Chicago,United States,North America,North America,2025-12-01,white rice (1 kg),Grains,4.98,1.0,4.3,125.8,2693976,14.86
Chicago,United States,North America,North America,2026-01-01,white rice (1 kg),Grains,4.7,1.0,4.3,124.2,2693976,14.64
Chicago,United States,North America,North America,2026-02-01,white rice (1 kg),Grains,4.81,1.0,4.3,125.3,2693976,14.83
Chicago,United States,North America,North America,2026-03-01,white rice (1 kg),Grains,4.9,1.0,4.3,126.0,2693976,14.89
Chicago,United States,North America,North America,2025-10-01,"eggs (regular, 12)",Dairy & Eggs,4.71,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,"eggs (regular, 12)",Dairy & Eggs,4.68,1.0,4.3,126.2,2693976,14.52
Chicago,United States,North America,North America,2025-12-01,"eggs (regular, 12)",Dairy & Eggs,4.7,1.0,4.3,125.8,2693976,14.86
Chicago,United States,North America,North America,2026-01-01,"eggs (regular, 12)",Dairy & Eggs,4.86,1.0,4.3,124.2,2693976,14.64
Chicago,United States,North America,North America,2026-02-01,"eggs (regular, 12)",Dairy & Eggs,4.77,1.0,4.3,125.3,2693976,14.83
Chicago,United States,North America,North America,2026-03-01,"eggs (regular, 12)",Dairy & Eggs,4.82,1.0,4.3,126.0,2693976,14.89
Chicago,United States,North America,North America,2025-10-01,local cheese (1 kg),Dairy,13.88,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,local cheese (1 kg),Dairy,14.0,1.0,4.3,126.2,2693976,14.52
Chicago,United States,North America,North America,2025-12-01,local cheese (1 kg),Dairy,14.33,1.0,4.3,125.8,2693976,14.86
Chicago,United States,North America,North America,2026-01-01,local cheese (1 kg),Dairy,13.72,1.0,4.3,124.2,2693976,14.64
Chicago,United States,North America,North America,2026-02-01,local cheese (1 kg),Dairy,14.35,1.0,4.3,125.3,2693976,14.83
Chicago,United States,North America,North America,2026-03-01,local cheese (1 kg),Dairy,14.3,1.0,4.3,126.0,2693976,14.89
Chicago,United States,North America,North America,2025-10-01,chicken fillets (1 kg),Meat,13.58,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,chicken fillets (1 kg),Meat,13.24,1.0,4.3,126.2,2693976,14.52
Chicago,United States,North America,North America,2025-12-01,chicken fillets (1 kg),Meat,13.05,1.0,4.3,125.8,2693976,14.86
Chicago,United States,North America,North America,2026-01-01,chicken fillets (1 kg),Meat,13.37,1.0,4.3,124.2,2693976,14.64
Chicago,United States,North America,North America,2026-02-01,chicken fillets (1 kg),Meat,13.49,1.0,4.3,125.3,2693976,14.83
Chicago,United States,North America,North America,2026-03-01,chicken fillets (1 kg),Meat,13.5,1.0,4.3,126.0,2693976,14.89
Chicago,United States,North America,North America,2025-10-01,beef round (1 kg),Meat,16.76,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,beef round (1 kg),Meat,16.64,1.0,4.3,126.2,2693976,14.52
Chicago,United States,North America,North America,2025-12-01,beef round (1 kg),Meat,16.3,1.0,4.3,125.8,2693976,14.86
Chicago,United States,North America,North America,2026-01-01,beef round (1 kg),Meat,16.99,1.0,4.3,124.2,2693976,14.64
Chicago,United States,North America,North America,2026-02-01,beef round (1 kg),Meat,16.75,1.0,4.3,125.3,2693976,14.83
Chicago,United States,North America,North America,2026-03-01,beef round (1 kg),Meat,16.91,1.0,4.3,126.0,2693976,14.89
Chicago,United States,North America,North America,2025-10-01,apples (1 kg),Fruits,5.3,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,apples (1 kg),Fruits,5.63,1.0,4.3,126.2,2693976,14.52
Chicago,United States,North America,North America,2025-12-01,apples (1 kg),Fruits,5.9,1.0,4.3,125.8,2693976,14.86
Chicago,United States,North America,North America,2026-01-01,apples (1 kg),Fruits,5.68,1.0,4.3,124.2,2693976,14.64
Chicago,United States,North America,North America,2026-02-01,apples (1 kg),Fruits,5.77,1.0,4.3,125.3,2693976,14.83
Chicago,United States,North America,North America,2026-03-01,apples (1 kg),Fruits,5.74,1.0,4.3,126.0,2693976,14.89
Chicago,United States,North America,North America,2025-10-01,bananas (1 kg),Fruits,1.76,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,bananas (1 kg),Fruits,1.82,1.0,4.3,126.2,2693976,14.52
Chicago,United States,North America,North America,2025-12-01,bananas (1 kg),Fruits,1.86,1.0,4.3,125.8,2693976,14.86
Chicago,United States,North America,North America,2026-01-01,bananas (1 kg),Fruits,1.81,1.0,4.3,124.2,2693976,14.64
Chicago,United States,North America,North America,2026-02-01,bananas (1 kg),Fruits,1.84,1.0,4.3,125.3,2693976,14.83
Chicago,United States,North America,North America,2026-03-01,bananas (1 kg),Fruits,1.87,1.0,4.3,126.0,2693976,14.89
Chicago,United States,North America,North America,2025-10-01,oranges (1 kg),Fruits,4.67,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,oranges (1 kg),Fruits,4.99,1.0,4.3,126.2,2693976,14.52
Chicago,United States,North America,North America,2025-12-01,oranges (1 kg),Fruits,4.86,1.0,4.3,125.8,2693976,14.86
Chicago,United States,North America,North America,2026-01-01,oranges (1 kg),Fruits,4.76,1.0,4.3,124.2,2693976,14.64
Chicago,United States,North America,North America,2026-02-01,oranges (1 kg),Fruits,4.89,1.0,4.3,125.3,2693976,14.83
Chicago,United States,North America,North America,2026-03-01,oranges (1 kg),Fruits,4.88,1.0,4.3,126.0,2693976,14.89
Chicago,United States,North America,North America,2025-10-01,tomatoes (1 kg),Vegetables,4.09,1.0,4.3,127.1,2693976,14.49
Chicago,United States,North America,North America,2025-11-01,tomatoes (1 kg),Vegetables,4.67,1.0,4.3,126.2,2693976,14.52
