City,Country,ISO_Country_Code,Region,Continent,Month,Month_Name,Item,Item_Key,Item_Category,Quantity,Unit,Price_Local,Currency_Local,Price_USD,Exchange_Rate,YoY_Inflation_Estimate_Pct,Inflation_Source,FAO_Index_Value,FAO_Index_Date,FAO_YoY_Change_Pct,USDA_All_Food_Forecast_Pct,USDA_Food_At_Home_Pct,Data_Collection_Date,Source_URL,Population_Estimate,Breakfast_Basket_USD
New York,United States,USA,North America,North America,2025-10,October 2025,White Rice (1 kg),Rice_1kg,Grains,1.0,kg,5.24,USD,5.24,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,White Rice (1 kg),Rice_1kg,Grains,1.0,kg,5.3,USD,5.3,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,White Rice (1 kg),Rice_1kg,Grains,1.0,kg,5.61,USD,5.61,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,White Rice (1 kg),Rice_1kg,Grains,1.0,kg,5.6,USD,5.6,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,White Rice (1 kg),Rice_1kg,Grains,1.0,kg,5.47,USD,5.47,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,White Rice (1 kg),Rice_1kg,Grains,1.0,kg,5.56,USD,5.56,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,"Eggs (Regular, 12)",Eggs_12,Dairy & Eggs,12.0,pieces,5.24,USD,5.24,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,"Eggs (Regular, 12)",Eggs_12,Dairy & Eggs,12.0,pieces,5.36,USD,5.36,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,"Eggs (Regular, 12)",Eggs_12,Dairy & Eggs,12.0,pieces,5.54,USD,5.54,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,"Eggs (Regular, 12)",Eggs_12,Dairy & Eggs,12.0,pieces,5.28,USD,5.28,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,"Eggs (Regular, 12)",Eggs_12,Dairy & Eggs,12.0,pieces,5.55,USD,5.55,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,"Eggs (Regular, 12)",Eggs_12,Dairy & Eggs,12.0,pieces,5.47,USD,5.47,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Local Cheese (1 kg),Cheese_1kg,Dairy,1.0,kg,15.64,USD,15.64,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Local Cheese (1 kg),Cheese_1kg,Dairy,1.0,kg,15.55,USD,15.55,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Local Cheese (1 kg),Cheese_1kg,Dairy,1.0,kg,15.86,USD,15.86,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Local Cheese (1 kg),Cheese_1kg,Dairy,1.0,kg,16.44,USD,16.44,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Local Cheese (1 kg),Cheese_1kg,Dairy,1.0,kg,16.18,USD,16.18,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Local Cheese (1 kg),Cheese_1kg,Dairy,1.0,kg,16.25,USD,16.25,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Chicken Fillets (1 kg),Chicken_1kg,Meat,1.0,kg,15.01,USD,15.01,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Chicken Fillets (1 kg),Chicken_1kg,Meat,1.0,kg,14.98,USD,14.98,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Chicken Fillets (1 kg),Chicken_1kg,Meat,1.0,kg,15.27,USD,15.27,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Chicken Fillets (1 kg),Chicken_1kg,Meat,1.0,kg,15.46,USD,15.46,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Chicken Fillets (1 kg),Chicken_1kg,Meat,1.0,kg,15.45,USD,15.45,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Chicken Fillets (1 kg),Chicken_1kg,Meat,1.0,kg,15.34,USD,15.34,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Beef Round (1 kg),Beef_1kg,Meat,1.0,kg,19.06,USD,19.06,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Beef Round (1 kg),Beef_1kg,Meat,1.0,kg,19.04,USD,19.04,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Beef Round (1 kg),Beef_1kg,Meat,1.0,kg,18.67,USD,18.67,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Beef Round (1 kg),Beef_1kg,Meat,1.0,kg,19.2,USD,19.2,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Beef Round (1 kg),Beef_1kg,Meat,1.0,kg,19.81,USD,19.81,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Beef Round (1 kg),Beef_1kg,Meat,1.0,kg,19.21,USD,19.21,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Apples (1 kg),Apples_1kg,Fruits,1.0,kg,5.97,USD,5.97,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Apples (1 kg),Apples_1kg,Fruits,1.0,kg,6.43,USD,6.43,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Apples (1 kg),Apples_1kg,Fruits,1.0,kg,6.64,USD,6.64,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Apples (1 kg),Apples_1kg,Fruits,1.0,kg,6.38,USD,6.38,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Apples (1 kg),Apples_1kg,Fruits,1.0,kg,6.65,USD,6.65,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Apples (1 kg),Apples_1kg,Fruits,1.0,kg,6.52,USD,6.52,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Bananas (1 kg),Bananas_1kg,Fruits,1.0,kg,1.95,USD,1.95,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Bananas (1 kg),Bananas_1kg,Fruits,1.0,kg,2.11,USD,2.11,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Bananas (1 kg),Bananas_1kg,Fruits,1.0,kg,2.12,USD,2.12,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Bananas (1 kg),Bananas_1kg,Fruits,1.0,kg,2.07,USD,2.07,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Bananas (1 kg),Bananas_1kg,Fruits,1.0,kg,2.16,USD,2.16,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Bananas (1 kg),Bananas_1kg,Fruits,1.0,kg,2.12,USD,2.12,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Oranges (1 kg),Oranges_1kg,Fruits,1.0,kg,5.3,USD,5.3,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Oranges (1 kg),Oranges_1kg,Fruits,1.0,kg,5.48,USD,5.48,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Oranges (1 kg),Oranges_1kg,Fruits,1.0,kg,5.59,USD,5.59,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Oranges (1 kg),Oranges_1kg,Fruits,1.0,kg,5.59,USD,5.59,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Oranges (1 kg),Oranges_1kg,Fruits,1.0,kg,5.39,USD,5.39,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Oranges (1 kg),Oranges_1kg,Fruits,1.0,kg,5.55,USD,5.55,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Tomatoes (1 kg),Tomatoes_1kg,Vegetables,1.0,kg,4.66,USD,4.66,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Tomatoes (1 kg),Tomatoes_1kg,Vegetables,1.0,kg,5.14,USD,5.14,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Tomatoes (1 kg),Tomatoes_1kg,Vegetables,1.0,kg,5.29,USD,5.29,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Tomatoes (1 kg),Tomatoes_1kg,Vegetables,1.0,kg,4.91,USD,4.91,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Tomatoes (1 kg),Tomatoes_1kg,Vegetables,1.0,kg,4.92,USD,4.92,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Tomatoes (1 kg),Tomatoes_1kg,Vegetables,1.0,kg,5.04,USD,5.04,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Potatoes (1 kg),Potatoes_1kg,Vegetables,1.0,kg,3.23,USD,3.23,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Potatoes (1 kg),Potatoes_1kg,Vegetables,1.0,kg,3.64,USD,3.64,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Potatoes (1 kg),Potatoes_1kg,Vegetables,1.0,kg,3.81,USD,3.81,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Potatoes (1 kg),Potatoes_1kg,Vegetables,1.0,kg,3.65,USD,3.65,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Potatoes (1 kg),Potatoes_1kg,Vegetables,1.0,kg,3.49,USD,3.49,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Potatoes (1 kg),Potatoes_1kg,Vegetables,1.0,kg,3.61,USD,3.61,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Onions (1 kg),Onions_1kg,Vegetables,1.0,kg,2.65,USD,2.65,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Onions (1 kg),Onions_1kg,Vegetables,1.0,kg,2.99,USD,2.99,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Onions (1 kg),Onions_1kg,Vegetables,1.0,kg,3.06,USD,3.06,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Onions (1 kg),Onions_1kg,Vegetables,1.0,kg,2.93,USD,2.93,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Onions (1 kg),Onions_1kg,Vegetables,1.0,kg,2.88,USD,2.88,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Onions (1 kg),Onions_1kg,Vegetables,1.0,kg,2.91,USD,2.91,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Lettuce (1 Head),Lettuce_1hd,Vegetables,1.0,head,2.5,USD,2.5,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Lettuce (1 Head),Lettuce_1hd,Vegetables,1.0,head,2.93,USD,2.93,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Lettuce (1 Head),Lettuce_1hd,Vegetables,1.0,head,2.84,USD,2.84,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Lettuce (1 Head),Lettuce_1hd,Vegetables,1.0,head,2.74,USD,2.74,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Lettuce (1 Head),Lettuce_1hd,Vegetables,1.0,head,2.83,USD,2.83,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Lettuce (1 Head),Lettuce_1hd,Vegetables,1.0,head,2.78,USD,2.78,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
Los Angeles,United States,USA,North America,North America,2025-10,October 2025,Milk (1 Liter),Milk_1L,Dairy,1.0,liter,1.21,USD,1.21,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/Los-Angeles,3979576,15.26
Los Angeles,United States,USA,North America,North America,2025-11,November 2025,Milk (1 Liter),Milk_1L,Dairy,1.0,liter,1.23,USD,1.23,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/Los-Angeles,3979576,15.37
